Time(ms), Neuron ID
56243.000000, 2
56263.000000, 1
56303.000000, 0
57202.000000, 7
57203.000000, 8
57203.000000, 9
57203.000000, 10
57203.000000, 11
57203.000000, 12
57203.000000, 13
57204.000000, 6
57213.000000, 5
57223.000000, 4
57233.000000, 3
57243.000000, 2
57263.000000, 1
57303.000000, 0
58202.000000, 7
58203.000000, 8
58203.000000, 9
58203.000000, 10
58203.000000, 11
58203.000000, 12
58203.000000, 13
58204.000000, 6
58213.000000, 5
58223.000000, 4
58233.000000, 3
58243.000000, 2
58263.000000, 1
58303.000000, 0
59202.000000, 7
59203.000000, 8
59203.000000, 9
59203.000000, 10
59203.000000, 11
59203.000000, 12
59203.000000, 13
59204.000000, 6
59213.000000, 5
59223.000000, 4
59233.000000, 3
59243.000000, 2
59263.000000, 1
59303.000000, 0
